time_X,NO3,NO3_std_X,time_Y,PO4,PO4_std_Y,lat1,lat2,lon1,lon2,depth,
2015-01-01,,,2015-01-01,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-01-02,,,2015-01-02,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-01-03,11.8186797771,2.68078141085,2015-01-03,1.14315147086,0.200266462112,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-01-04,,,2015-01-04,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-01-05,,,2015-01-05,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-01-06,,,2015-01-06,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-01-07,,,2015-01-07,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-01-08,,,2015-01-08,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-01-09,,,2015-01-09,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-01-10,11.8765170926,2.69514746729,2015-01-10,1.14424902498,0.201258622132,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-01-11,,,2015-01-11,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-01-12,,,2015-01-12,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-01-13,,,2015-01-13,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-01-14,,,2015-01-14,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-01-15,,,2015-01-15,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-01-16,,,2015-01-16,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-01-17,11.911334014,2.66934848667,2015-01-17,1.14512003482,0.198699987724,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-01-18,,,2015-01-18,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-01-19,,,2015-01-19,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-01-20,,,2015-01-20,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-01-21,,,2015-01-21,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-01-22,,,2015-01-22,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-01-23,,,2015-01-23,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-01-24,11.9323481421,2.66725750542,2015-01-24,1.14564115458,0.197759448107,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-01-25,,,2015-01-25,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-01-26,,,2015-01-26,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-01-27,,,2015-01-27,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-01-28,,,2015-01-28,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-01-29,,,2015-01-29,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-01-30,,,2015-01-30,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-01-31,11.9942974828,2.66228460542,2015-01-31,1.14844483881,0.196754215718,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-02-01,,,2015-02-01,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-02-02,,,2015-02-02,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-02-03,,,2015-02-03,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-02-04,,,2015-02-04,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-02-05,,,2015-02-05,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-02-06,,,2015-02-06,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-02-07,11.9891017743,2.66300869267,2015-02-07,1.14732004685,0.196538597751,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-02-08,,,2015-02-08,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-02-09,,,2015-02-09,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-02-10,,,2015-02-10,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-02-11,,,2015-02-11,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-02-12,,,2015-02-12,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-02-13,,,2015-02-13,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-02-14,11.9327795176,2.65385679304,2015-02-14,1.14387766223,0.195690486042,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-02-15,,,2015-02-15,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-02-16,,,2015-02-16,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-02-17,,,2015-02-17,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-02-18,,,2015-02-18,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-02-19,,,2015-02-19,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-02-20,,,2015-02-20,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-02-21,11.8553052154,2.66581836863,2015-02-21,1.13933020573,0.196305985166,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-02-22,,,2015-02-22,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-02-23,,,2015-02-23,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-02-24,,,2015-02-24,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-02-25,,,2015-02-25,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-02-26,,,2015-02-26,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-02-27,,,2015-02-27,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-02-28,11.7678314369,2.67969338306,2015-02-28,1.13518367846,0.196955770893,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-03-01,,,2015-03-01,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-03-02,,,2015-03-02,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-03-03,,,2015-03-03,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-03-04,,,2015-03-04,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-03-05,,,2015-03-05,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-03-06,,,2015-03-06,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-03-07,11.701127234,2.69047533073,2015-03-07,1.13149807283,0.198021410374,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-03-08,,,2015-03-08,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-03-09,,,2015-03-09,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-03-10,,,2015-03-10,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-03-11,,,2015-03-11,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-03-12,,,2015-03-12,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-03-13,,,2015-03-13,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-03-14,11.7492544581,2.72854775622,2015-03-14,1.13493277981,0.200323475028,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-03-15,,,2015-03-15,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-03-16,,,2015-03-16,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-03-17,,,2015-03-17,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-03-18,,,2015-03-18,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-03-19,,,2015-03-19,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-03-20,,,2015-03-20,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-03-21,11.7485987562,2.70358619573,2015-03-21,1.13600457769,0.19866111787,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-03-22,,,2015-03-22,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-03-23,,,2015-03-23,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-03-24,,,2015-03-24,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-03-25,,,2015-03-25,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-03-26,,,2015-03-26,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-03-27,,,2015-03-27,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-03-28,11.7764423115,2.66281029749,2015-03-28,1.13957073061,0.196156299561,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-03-29,,,2015-03-29,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-03-30,,,2015-03-30,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-03-31,,,2015-03-31,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-04-01,,,2015-04-01,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-04-02,,,2015-04-02,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-04-03,,,2015-04-03,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-04-04,11.8467989217,2.71274546177,2015-04-04,1.146322663,0.199264671102,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-04-05,,,2015-04-05,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-04-06,,,2015-04-06,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-04-07,,,2015-04-07,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-04-08,,,2015-04-08,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-04-09,,,2015-04-09,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-04-10,,,2015-04-10,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-04-11,11.91545559,2.77971374896,2015-04-11,1.15326390691,0.202696352584,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-04-12,,,2015-04-12,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-04-13,,,2015-04-13,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-04-14,,,2015-04-14,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-04-15,,,2015-04-15,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-04-16,,,2015-04-16,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-04-17,,,2015-04-17,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-04-18,12.0654898793,2.80963784817,2015-04-18,1.16467630363,0.204439309652,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-04-19,,,2015-04-19,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-04-20,,,2015-04-20,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-04-21,,,2015-04-21,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-04-22,,,2015-04-22,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-04-23,,,2015-04-23,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-04-24,,,2015-04-24,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-04-25,12.1492614454,2.83163715422,2015-04-25,1.17239037082,0.205741082204,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-04-26,,,2015-04-26,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-04-27,,,2015-04-27,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-04-28,,,2015-04-28,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-04-29,,,2015-04-29,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-04-30,,,2015-04-30,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-05-01,,,2015-05-01,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-05-02,12.1308995872,2.80915519696,2015-05-02,1.17368214106,0.204186983773,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-05-03,,,2015-05-03,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-05-04,,,2015-05-04,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-05-05,,,2015-05-05,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-05-06,,,2015-05-06,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-05-07,,,2015-05-07,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-05-08,,,2015-05-08,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-05-09,12.0694344157,2.75979073325,2015-05-09,1.17226807006,0.201266687974,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-05-10,,,2015-05-10,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-05-11,,,2015-05-11,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-05-12,,,2015-05-12,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-05-13,,,2015-05-13,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-05-14,,,2015-05-14,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-05-15,,,2015-05-15,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-05-16,11.9698740901,2.69959863642,2015-05-16,1.1680996495,0.197486235261,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-05-17,,,2015-05-17,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-05-18,,,2015-05-18,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-05-19,,,2015-05-19,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-05-20,,,2015-05-20,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-05-21,,,2015-05-21,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-05-22,,,2015-05-22,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-05-23,11.8488498058,2.68486280404,2015-05-23,1.16183085601,0.196720210885,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-05-24,,,2015-05-24,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-05-25,,,2015-05-25,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-05-26,,,2015-05-26,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-05-27,,,2015-05-27,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-05-28,,,2015-05-28,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-05-29,,,2015-05-29,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-05-30,11.6387750935,2.68303829729,2015-05-30,1.14878722694,0.197359800911,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-05-31,,,2015-05-31,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-06-01,,,2015-06-01,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-06-02,,,2015-06-02,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-06-03,,,2015-06-03,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-06-04,,,2015-06-04,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-06-05,,,2015-06-05,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-06-06,11.5225522242,2.60597877896,2015-06-06,1.14307880415,0.191924431635,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-06-07,,,2015-06-07,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-06-08,,,2015-06-08,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-06-09,,,2015-06-09,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-06-10,,,2015-06-10,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-06-11,,,2015-06-11,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-06-12,,,2015-06-12,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-06-13,11.4253873436,2.65911288857,2015-06-13,1.13811380347,0.195959943691,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-06-14,,,2015-06-14,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-06-15,,,2015-06-15,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-06-16,,,2015-06-16,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-06-17,,,2015-06-17,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-06-18,,,2015-06-18,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-06-19,,,2015-06-19,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-06-20,11.2069826083,2.70277970961,2015-06-20,1.12415839458,0.199963102819,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-06-21,,,2015-06-21,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-06-22,,,2015-06-22,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-06-23,,,2015-06-23,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-06-24,,,2015-06-24,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-06-25,,,2015-06-25,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-06-26,,,2015-06-26,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-06-27,11.0498685696,2.69677432634,2015-06-27,1.11508494264,0.199701387086,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-06-28,,,2015-06-28,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-06-29,,,2015-06-29,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-06-30,,,2015-06-30,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-07-01,,,2015-07-01,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-07-02,,,2015-07-02,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-07-03,,,2015-07-03,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-07-04,10.9330562345,2.66647085279,2015-07-04,1.10843940806,0.197250092386,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-07-05,,,2015-07-05,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-07-06,,,2015-07-06,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-07-07,,,2015-07-07,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-07-08,,,2015-07-08,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-07-09,,,2015-07-09,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-07-10,,,2015-07-10,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-07-11,10.818020906,2.61922143214,2015-07-11,1.10167929375,0.193381441573,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-07-12,,,2015-07-12,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-07-13,,,2015-07-13,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-07-14,,,2015-07-14,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-07-15,,,2015-07-15,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-07-16,,,2015-07-16,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-07-17,,,2015-07-17,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-07-18,10.6949292646,2.60303277637,2015-07-18,1.09361468962,0.192425650216,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-07-19,,,2015-07-19,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-07-20,,,2015-07-20,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-07-21,,,2015-07-21,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-07-22,,,2015-07-22,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-07-23,,,2015-07-23,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-07-24,,,2015-07-24,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-07-25,10.6372331913,2.61283706706,2015-07-25,1.09050068428,0.19267456744,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-07-26,,,2015-07-26,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-07-27,,,2015-07-27,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-07-28,,,2015-07-28,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-07-29,,,2015-07-29,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-07-30,,,2015-07-30,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-07-31,,,2015-07-31,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-08-01,10.4973041281,2.59314344879,2015-08-01,1.08163228476,0.190687296757,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-08-02,,,2015-08-02,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-08-03,,,2015-08-03,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-08-04,,,2015-08-04,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-08-05,,,2015-08-05,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-08-06,,,2015-08-06,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-08-07,,,2015-08-07,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-08-08,10.3786482843,2.56633621623,2015-08-08,1.0737633251,0.188491168787,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-08-09,,,2015-08-09,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-08-10,,,2015-08-10,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-08-11,,,2015-08-11,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-08-12,,,2015-08-12,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-08-13,,,2015-08-13,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-08-14,,,2015-08-14,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-08-15,10.2162847211,2.60408545095,2015-08-15,1.06259442849,0.191715196906,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-08-16,,,2015-08-16,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-08-17,,,2015-08-17,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-08-18,,,2015-08-18,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-08-19,,,2015-08-19,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-08-20,,,2015-08-20,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-08-21,,,2015-08-21,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-08-22,10.0197541373,2.71622102014,2015-08-22,1.04908300608,0.200314581516,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-08-23,,,2015-08-23,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-08-24,,,2015-08-24,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-08-25,,,2015-08-25,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-08-26,,,2015-08-26,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-08-27,,,2015-08-27,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-08-28,,,2015-08-28,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-08-29,9.90861552211,2.81044035622,2015-08-29,1.0422825101,0.206570626981,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-08-30,,,2015-08-30,,,43.0,53.0,-160.0,-150.0,0.494024991989,
2015-08-31,,,2015-08-31,,,43.0,53.0,-160.0,-150.0,0.494024991989,
